Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-09-26 11:50:58,false,"San Jose Running","2.59","318","00:22:19","145","169","2.7","146","209","8:36","4:59","59","62","1.28","0.0","0.0","0.0","0.0","0.0","22:19","0:00","82.4","0:00","No","06:42.58","3","0.0","13","13","13"
Running,2020-09-24 09:35:13,false,"Orange Running","3.81","492","00:32:51","153","182","3.3","148","215","8:37","4:35","56","56","1.25","0.0","0.0","0.0","0.0","0.0","32:51","0:00","78.8","0:00","No","07:08.32","4","0.0","18","18","18"
Running,2020-09-23 10:08:14,false,"Orange Running","3.76","487","00:32:32","155","186","3.4","147","180","8:40","4:48","52","43","1.24","0.0","0.0","0.0","0.0","0.0","32:32","0:00","82.4","0:00","No","07:15.53","4","0.0","17","17","17"
Running,2020-09-22 10:06:54,false,"Orange Running","1.92","237","00:15:33","149","171","2.5","156","169","8:06","6:44","20","13","1.27","0.0","0.0","0.0","0.0","0.0","15:33","0:00","78.8","0:00","No","07:26.79","2","0.0","19","19","19"
Running,2020-09-18 23:28:30,false,"Orange Running","1.93","289","00:20:53","144","171","2.3","139","217","10:48","7:54","16","13","1.07","0.0","0.0","0.0","0.0","0.0","20:53","0:00","80.6","0:00","No","10:04.42","2","0.0","14","14","14"
Running,2020-09-18 12:17:51,false,"Orange Running","1.50","199","00:11:33","163","179","2.7","152","200","7:42","3:37","20","10","1.37","0.0","0.0","0.0","0.0","0.0","11:33","0:00","87.8","0:00","No","04:30.11","2","0.0","15","15","15"
Running,2020-09-17 09:43:33,false,"Orange Running","3.79","457","00:34:19","144","173","2.9","141","217","9:02","4:28","56","59","1.26","0.0","0.0","0.0","0.0","0.0","34:19","0:00","78.8","0:00","No","07:56.94","4","0.0","21","21","21"
Running,2020-09-15 09:46:19,false,"Orange Running","3.76","470","00:31:45","150","171","3.2","152","165","8:26","7:08","59","52","1.25","0.0","0.0","0.0","0.0","0.0","31:45","0:00","80.6","0:00","No","07:42.05","4","0.0","16","16","16"
Running,2020-09-14 10:12:08,false,"Orange Running","2.89","341","00:24:42","142","168","2.6","149","220","8:33","6:32","39","36","1.26","0.0","0.0","0.0","0.0","0.0","24:42","0:00","80.6","0:00","No","07:44.22","3","0.0","16","16","16"
Running,2020-09-13 09:58:34,false,"Orange Running","1.24","138","00:08:24.6","157","171","2.3","159","171","6:48","5:42","10","20","1.48","0.0","0.0","0.0","0.0","0.0","8:24.6","0:00","73.4","0:00","No","02:04.30","2","0.0","15","15","15"
Running,2020-09-13 09:46:16,false,"Orange Running","1.29","132","00:09:44.1","137","157","2.0","158","186","7:32","4:43","23","3","1.36","0.0","0.0","0.0","0.0","0.0","9:44.1","0:00","77.0","0:00","No","02:06.24","2","0.0","17","17","17"
Running,2020-09-11 12:32:00,false,"Orange Running","1.59","161","00:12:52","132","163","1.9","148","171","8:05","5:51","20","10","1.35","0.0","0.0","0.0","0.0","0.0","12:52","0:00","84.2","0:00","No","05:09.27","2","0.0","16","16","16"
Running,2020-09-10 10:06:51,false,"Orange Running","2.66","339","00:28:08","138","169","2.9","125","171","10:34","7:09","33","26","1.18","0.0","0.0","0.0","0.0","0.0","28:08","0:00","78.8","0:00","No","00:01.35","4","0.0","16","16","16"
Running,2020-09-09 09:55:18,false,"Orange Running","2.37","315","00:20:03","154","169","3.0","153","204","8:27","7:29","39","39","1.24","0.0","0.0","0.0","0.0","0.0","20:03","0:00","78.8","0:00","No","04:03.59","3","0.0","20","20","20"
Running,2020-09-08 15:52:46,false,"Orange Running","2.48","317","00:24:09","139","165","2.5","147","225","9:45","6:22","43","33","1.12","0.0","0.0","0.0","0.0","0.0","24:09","0:00","80.6","0:00","No","05:06.75","3","0.0","19","19","19"
Running,2020-09-07 11:14:17,false,"Orange Running","1.26","150","00:09:39.0","150","163","2.2","158","167","7:40","6:55","26","20","1.33","0.0","0.0","0.0","0.0","0.0","9:39.0","0:00","86.0","0:00","No","02:00.31","2","0.0","24","24","24"
Running,2020-09-06 15:14:45,false,"Orange Running","1.49","234","00:13:21","168","181","3.0","144","167","8:59","7:06","30","30","1.23","0.0","0.0","0.0","0.0","0.0","13:21","0:00","95.0","0:00","No","05:29.36","2","0.0","22","22","22"
Running,2020-09-02 10:19:27,false,"Orange Running","1.44","183","00:16:25","128","161","2.1","130","169","11:25","7:46","26","26","1.04","0.0","0.0","0.0","0.0","0.0","16:25","0:00","84.2","0:00","No","02:16.86","3","0.0","21","21","21"
Running,2020-08-06 11:39:09,false,"Orange Running","2.24","317","00:31:02","132","163","2.1","107","244","13:53","2:25","59","66","1.08","0.0","0.0","0.0","0.0","0.0","31:02","0:00","82.4","0:00","No","04:14.82","3","0.0","23","23","23"
Running,2020-08-06 11:18:18,false,"Orange - Easy Run","2.06","261","00:19:05","141","169","2.4","141","169","9:17","6:26","30","36","1.22","0.0","0.0","0.0","0.0","0.0","19:05","0:00","80.6","0:00","No","01:47.00","4","0.0","15","15","15"
Running,2020-08-05 11:03:03,false,"Orange - Easy Run","5.70","727","00:48:15","157","187","3.7","152","176","8:28","5:09","62","66","1.25","0.0","0.0","0.0","0.0","0.0","48:15","0:00","82.4","0:00","No","03:15.19","7","0.0","19","19","19"
Running,2020-08-02 10:19:45,false,"Orange Running","2.38","303","00:17:57","161","176","2.8","164","182","7:33","5:10","23","46","1.30","0.0","0.0","0.0","0.0","0.0","17:57","0:00","84.2","0:00","No","02:44.44","3","0.0","24","24","24"
Running,2020-08-02 10:03:23,false,"Orange - Benchmark Run","1.10","117","00:09:00","140","169","1.8","142","173","8:12","6:05","23","--","1.33","0.0","0.0","0.0","0.0","0.0","9:00","0:00","84.2","0:00","No","02:00.00","3","0.0","28","14","37"
Running,2020-08-01 12:26:31,false,"Orange Running","5.21","698","00:39:30","171","183","4.1","162","173","7:34","6:19","62","69","1.31","0.0","0.0","0.0","0.0","0.0","39:30","0:00","84.2","0:00","No","01:53.67","6","0.0","16","16","16"
Running,2020-07-30 10:11:35,false,"Orange Running","5.03","647","00:44:14","150","177","3.0","161","179","8:47","6:45","56","56","1.13","0.0","0.0","0.0","0.0","0.0","44:14","0:00","82.4","0:00","No","00:37.50","6","0.0","17","17","17"
Running,2020-07-29 10:22:31,false,"Orange Running","2.76","358","00:27:47","147","174","2.4","141","182","10:05","4:47","36","52","1.10","0.0","0.0","0.0","0.0","0.0","27:47","0:00","78.8","0:00","No","05:02.52","3","0.0","21","21","21"
Running,2020-07-29 10:11:37,false,"Orange Running","1.01","122","00:09:13.9","137","151","1.4","146","214","9:09","7:09","20","--","1.20","0.0","0.0","0.0","0.0","0.0","9:13.9","0:00","82.4","0:00","No","00:14.58","2","0.0","21","21","21"
Running,2020-07-28 10:05:15,false,"Orange Running","3.32","412","00:27:33","149","166","2.8","163","175","8:18","7:07","49","49","1.19","0.0","0.0","0.0","0.0","0.0","27:33","0:00","78.8","0:00","No","02:42.68","4","0.0","15","15","15"
Running,2020-07-27 13:45:28,false,"Orange Running","3.13","396","00:24:23","158","172","3.1","161","174","7:48","6:37","59","43","1.28","0.0","0.0","0.0","0.0","0.0","24:23","0:00","84.2","0:00","No","01:05.97","4","0.0","19","19","19"
Running,2020-07-26 12:45:17,false,"Orange Running","6.32","748","00:42:30","174","192","4.5","165","184","6:44","4:56","112","98","1.45","0.0","0.0","0.0","0.0","0.0","42:30","0:00","84.2","0:00","No","01:52.65","7","0.0","15","15","15"
Running,2020-07-25 14:32:42,false,"Orange Running","3.36","435","00:24:36","173","184","3.6","163","174","7:20","6:36","59","56","1.35","0.0","0.0","0.0","0.0","0.0","24:36","0:00","84.2","0:00","No","02:47.24","4","0.0","19","19","19"
Running,2020-07-21 14:13:58,false,"Orange Running","5.00","649","00:37:58","167","186","4.0","163","209","7:35","5:41","85","49","1.30","0.0","0.0","0.0","0.0","0.0","37:58","0:00","84.2","0:00","No","00:04.01","6","0.0","25","25","25"
Running,2020-07-19 12:11:03,false,"Orange Running","3.10","403","00:25:15","156","171","3.1","161","222","8:08","7:32","62","46","1.23","0.0","0.0","0.0","0.0","0.0","25:15","0:00","87.8","0:00","No","00:50.15","4","0.0","14","14","14"
Running,2020-07-17 12:14:37,false,"Orange Running","10.00","1,406","01:20:25","171","186","5.0","160","180","8:02","5:39","148","135","1.25","0.0","0.0","0.0","0.0","0.0","1:20:25","0:00","86.0","0:00","No","04:27.11","11","0.0","16","16","16"
Running,2020-07-10 14:11:35,false,"San Jose Running","0.45","77","00:06:42.7","127","146","1.0","104","169","14:48","7:30","3","3","1.05","0.0","0.0","0.0","0.0","0.0","6:42.7","0:00","93.2","0:00","No","06:42.75","1","0.0","16","16","16"
Running,2020-07-09 13:20:37,false,"San Jose Running","3.16","445","00:36:08","143","186","2.8","118","210","11:26","3:52","102","89","1.20","0.0","0.0","0.0","0.0","0.0","36:08","0:00","87.8","0:00","No","02:46.63","4","0.0","17","17","17"
Running,2020-07-08 13:14:27,false,"San Jose Running","2.84","351","00:26:49","143","163","2.3","132","223","9:27","3:06","85","118","1.28","0.0","0.0","0.0","0.0","0.0","26:49","0:00","87.8","0:00","No","00:44.01","4","0.0","25","16","37"
