Date,,Stress Level,Hrs,Resting Heart Rate,Max Heart Rate,Active Calories,Total Steps
8-Jul,Wed,20,8.7,42,158,1753,21366
9-Jul,Thu,31,8.5,46,182,1098,15775
10-Jul,Fri,32,7.6,49,165,1026,12190
11-Jul,Sat,32,6.1,46,143,993,20126
12-Jul,Sun,32,4.1,47,129,1054,20092
13-Jul,Mon,18,9.1,44,102,249,8117
14-Jul,Tue,38,6.4,45,118,428,7909
15-Jul,Wed,56,4.7,64,132,706,5365
16-Jul,Thu,28,7.1,48,118,194,5184
17-Jul,Fri,14,8.7,44,183,1660,17641
18-Jul,Sat,38,0,49,134,304,4260
19-Jul,Sun,34,7.6,43,167,1210,13216
20-Jul,Mon,45,5.8,58,151,1193,13046
21-Jul,Tue,17,5.9,46,179,1062,10948
22-Jul,Wed,21,7.1,44,131,365,4862
23-Jul,Thu,29,6.3,44,165,984,8695
24-Jul,Fri,53,6.6,55,123,761,9078
25-Jul,Sat,42,3.9,55,181,812,10457
26-Jul,Sun,36,8.7,46,185,1413,15556
27-Jul,Mon,21,6.9,46,168,845,11012
28-Jul,Tue,14,8.2,44,159,685,9705
29-Jul,Wed,28,8.3,43,169,1179,12505
30-Jul,Thu,22,8.2,44,168,1132,13047
31-Jul,Fri,30,6.9,48,143,552,5970
1-Aug,Sat,19,7.4,45,182,1105,12367
2-Aug,Sun,9,8.5,44,168,868,7655
3-Aug,Mon,53,8,51,122,298,3725
4-Aug,Tue,21,8.4,43,162,680,5931
5-Aug,Wed,17,6.6,42,183,1108,11114
6-Aug,Thu,24,6.5,46,164,1123,12520
7-Aug,Fri,20,9.5,45,124,397,4195
8-Aug,Sat,32,4.2,46,128,568,7508
9-Aug,Sun,14,9.2,43,130,573,6920
10-Aug,Mon,34,0,43,130,261,4478
11-Aug,Tue,24,8.3,43,147,871,7573
12-Aug,Wed,17,6.3,44,132,678,8662
13-Aug,Thu,14,9.3,41,95,65,4290
14-Aug,Fri,20,7.2,41,159,1535,22999
15-Aug,Sat,0,0,54,161,2140,28600
16-Aug,Sun,53,0,44,124,615,19212
17-Aug,Mon,13,9.1,40,123,179,6678
18-Aug,Tue,19,9.5,41,158,660,7922
19-Aug,Wed,27,8.3,43,159,1096,10232
20-Aug,Thu,24,6.8,43,100,216,8494
21-Aug,Fri,45,5.2,50,157,1676,15224
22-Aug,Sat,43,4.3,59,127,485,8097
23-Aug,Sun,16,7.3,44,144,685,7011
24-Aug,Mon,16,7.8,42,130,475,7666
25-Aug,Tue,30,7.6,40,140,1189,16264
26-Aug,Wed,34,5.1,51,138,770,11214
27-Aug,Thu,27,7.8,43,136,786,8462
28-Aug,Fri,43,7,51,122,1002,9853
29-Aug,Sat,28,5.5,49,133,705,6849
30-Aug,Sun,14,8.6,39,155,623,8331
31-Aug,Mon,15,7.1,39,144,711,7715
1-Sep,Tue,19,7.3,39,165,930,8278
2-Sep,Wed,20,8.6,40,154,645,8996
3-Sep,Thu,50,0,48,133,417,4589
4-Sep,Fri,0,0,0,0,0,0
5-Sep,Sat,47,3.5,51,124,143,3376
6-Sep,Sun,15,5.9,43,178,871,13318
8-Sep,Mon,10,0,42,160,566,6720
7-Sep,Tue,25,8,43,127,682,9404
9-Sep,Wed,21,7.5,41,166,928,10236
10-Sep,Thu,31,6.6,43,165,821,10365
11-Sep,Fri,32,6.1,48,155,1069,10562
12-Sep,Sat,36,6.4,47,119,206,4795
13-Sep,Sun,16,8,39,166,797,9023
14-Sep,Mon,13,7.9,39,161,995,11976
15-Sep,Tue,18,7.5,41,166,1056,11363
16-Sep,Wed,14,7.7,42,155,442,5029
17-Sep,Thu,30,7.5,40,168,1082,11931
18-Sep,Fri,37,7.2,46,175,1339,12338
19-Sep,Sat,54,6,52,135,1328,9076
20-Sep,Sun,34,3.6,41,109,309,5487
21-Sep,Mon,7,7.6,39,134,561,4029
22-Sep,Tue,14,6.1,36,166,688,7089
23-Sep,Wed,24,7.9,38,179,1014,10982
24-Sep,Thu,30,0,41,179,988,11238
25-Sep,Fri,21,7.6,41,148,896,12061
26-Sep,Sat,20,7.9,42,165,997,15923
27-Sep,Sun,11,6.5,40,160,542,6240
28-Sep,Mon,16,7.6,42,176,795,8034
29-Sep,Tue,14,7.4,41,105,118,4959
30-Sep,Wed,22,7.1,40,174,757,10891
1-Oct,Thu,20,8.4,42,109,118,5815
2-Oct,Fri,23,6.4,41,172,1224,8195
3-Oct,Sat,21,6.3,43,97,73,2289
4-Oct,Sun,35,0,44,155,437,4924
5-Oct,Mon,16,8.5,40,140,583,5463
6-Oct,Tue,17,7.5,41,153,494,4658
7-Oct,Wed,21,8.8,38,142,762,4975
8-Oct,Thu,21,8.3,37,147,587,6334
9-Oct,Fri,24,7.2,43,149,801,11395
10-Oct,Sat,42,5.3,44,160,1071,12426
11-Oct,Sun,17,7.5,40,151,788,7286
12-Oct,Mon,12,9,40,144,780,6173
13-Oct,Tue,17,8.2,40,170,974,8147
14-Oct,Wed,22,8,42,171,818,5416
15-Oct,Thu,27,7.9,42,179,1229,10584
16-Oct,Fri,31,6.7,46,112,260,4089
17-Oct,Sat,59,2.6,58,114,283,5317
18-Oct,Sun,15,6.3,39,171,928,7499
19-Oct,Mon,12,7.3,40,139,534,3966
20-Oct,Tue,17,8.3,41,173,1012,8904
21-Oct,Wed,21,7.9,45,143,530,5148
22-Oct,Thu,60,0,44,124,613,7247
23-Oct,Fri,38,6.1,47,123,704,14751
24-Oct,Sat,41,3,50,114,254,6320
25-Oct,Sun,17,7,42,150,743,8194
26-Oct,Mon,15,8.9,43,114,95,2507
27-Oct,Tue,21,7.2,41,130,439,5627
28-Oct,Wed,23,7.4,45,173,807,8228
29-Oct,Thu,49,0,47,127,463,7075
30-Oct,Fri,63,5.9,64,124,522,3704
31-Oct,Sat,42,0,54,125,370,2504
1-Nov,Sun,10,0,46,163,950,8228
2-Nov,Mon,20,4.7,42,129,429,4425
3-Nov,Tue,30,0,46,123,421,4420
4-Nov,Wed,16,8.2,45,96,68,3310
5-Nov,Thu,18,8,45,92,95,4839
6-Nov,Fri,16,7.8,42,179,727,7055
7-Nov,Sat,20,8.3,41,169,787,9826
8-Nov,Sun,15,7.6,39,164,697,7560
9-Nov,Mon,27,5.8,41,118,155,5172
10-Nov,Tue,17,7.9,41,92,29,1763
11-Nov,Wed,18,6.6,37,145,491,5384
12-Nov,Thu,21,8.3,40,154,560,7176
13-Nov,Fri,22,7.1,42,96,127,6053
14-Nov,Sat,30,7.2,42,109,130,5165
15-Nov,Sun,36,2.8,46,115,187,4740
16-Nov,Mon,16,8.3,42,102,128,5678
17-Nov,Tue,26,8.4,42,101,82,3244
18-Nov,Wed,26,8,46,103,90,4427
19-Nov,Thu,27,7.5,45,170,678,7783
20-Nov,Fri,24,6.6,44,116,203,6578
21-Nov,Sat,23,7.4,44,155,1036,16695
22-Nov,Sun,24,7.9,44,157,823,13624
23-Nov,Mon,26,7.9,43,144,680,12447
24-Nov,Tue,19,7.9,45,147,642,10904
25-Nov,Wed,18,8,43,123,554,11279
26-Nov,Thu,26,9.1,47,115,388,7272
27-Nov,Fri,27,9.2,45,121,463,12451
28-Nov,Sat,26,8.7,48,175,1189,17396
29-Nov,Sun,23,7.7,44,131,497,8128
30-Nov,Mon,15,8,43,128,355,5813
1-Dec,Tue,26,8.1,45,150,968,6730
2-Dec,Wed,27,6.7,45,159,760,6286
